,1_star_ratings,2_star_ratings,3_star_ratings,4_star_ratings,5_star_ratings,total_ratings,avg_ratings
the lego movie videogame - xbox one,1,0,1,6,13,21,4.428571428571429
grand theft auto vice city stories - sony psp,1,0,2,3,15,21,4.476190476190476
wwe 2k15 - xbox 360,4,0,2,6,9,21,3.761904761904762
nba 2k15 - playstation 3,1,1,2,1,16,21,4.428571428571429
sonic amiibo - japan import (super smash bros series),1,0,0,1,19,21,4.761904761904762
wave race 64,1,0,5,3,12,21,4.190476190476191
just dance 2014 - nintendo wii u,0,0,2,10,9,21,4.333333333333333
james bond 007: nightfire - playstation 2,2,0,4,7,8,21,3.9047619047619047
soul calibur v,2,3,6,3,7,21,3.4761904761904763
brute force,1,0,2,7,11,21,4.285714285714286
disgaea 3 absence of justice - playstation 3,0,0,3,6,12,21,4.428571428571429
game boy advance sp replacement battery pack for gba sp,0,0,3,1,17,21,4.666666666666667
medal of honor rising sun - playstation 2,2,3,5,6,5,21,3.4285714285714284
art academy - nintendo ds,0,1,5,7,8,21,4.0476190476190474
the sims 3: late night - pc/mac,1,0,0,5,15,21,4.571428571428571
s.t.a.l.k.e.r.: clear sky - pc,3,1,3,6,8,21,3.7142857142857144
phoenix wright ace attorney: trials and tribulations - nintendo ds,0,1,0,4,16,21,4.666666666666667
green lantern: rise of the manhunters - xbox 360,1,3,3,6,8,21,3.8095238095238093
james bond 007: everything or nothing - playstation 2,1,0,2,7,11,21,4.285714285714286
catherine - xbox 360,2,0,1,8,10,21,4.142857142857143
trauma center:  under the knife - nintendo ds,0,1,4,7,9,21,4.142857142857143
zack & wiki quest for barbaros’ treasure - nintendo wii,0,0,3,6,12,21,4.428571428571429
star wars bounty hunter - playstation 2,1,1,1,9,9,21,4.142857142857143
the sims 3 - xbox 360,1,3,5,4,8,21,3.7142857142857144
blathers amiibo (animal crossing series),0,0,0,4,17,21,4.809523809523809
no one lives forever 2: a spy in h.a.r.m.'s way,0,0,0,10,11,21,4.523809523809524
mlb the show 16 - playstation 4,1,1,0,3,16,21,4.523809523809524
ninja blade - xbox 360,1,2,3,6,9,21,3.9523809523809526
star ocean: first departure - sony psp,1,2,2,5,11,21,4.095238095238095
crysis maximum edition,5,0,1,8,7,21,3.5714285714285716
"hori compact playstand - zelda edition, officially licensed by nintendo - nintendo switch",0,0,2,2,17,21,4.714285714285714
donkey kong country,0,1,2,5,13,21,4.428571428571429
golden sun: the lost age,1,0,0,4,16,21,4.619047619047619
resident evil code veronica,0,1,1,5,14,21,4.523809523809524
guitar hero iii: legends of rock wireless bundle - xbox 360,0,1,3,8,9,21,4.190476190476191
lego star wars iii the clone wars - playstation 3,0,0,4,3,14,21,4.476190476190476
evil dead: a fistful of boomstick,0,0,5,5,11,21,4.285714285714286
generic remote + nunchuk nunchuck controller combo set bundle for nintendo wii,0,0,2,4,15,21,4.619047619047619
meta knight amiibo - nintendo 3ds,0,0,0,1,20,21,4.9523809523809526
metal gear solid 2:substance,0,1,2,3,15,21,4.523809523809524
odin sphere leifthrasir: storybook edition - playstation 4 storybook edition,0,1,0,2,18,21,4.761904761904762
the sims 3: world adventures expansion pack,4,0,3,5,9,21,3.7142857142857144
need for speed: underground 2 - xbox,1,1,1,7,11,21,4.238095238095238
the thing,1,4,4,3,9,21,3.7142857142857144
unreal tournament 2003 - pc,1,1,2,5,12,21,4.238095238095238
the last remnant -xbox 360,3,2,3,6,7,21,3.5714285714285716
nba street volume 2 - playstation 2,1,0,1,5,14,21,4.476190476190476
mystery case files: madame fate - pc,0,0,0,4,17,21,4.809523809523809
world heroes anthology - playstation 2,0,0,6,4,11,21,4.238095238095238
xbox one 1tb console - halo: the master chief collection bundle,3,1,2,3,12,21,3.9523809523809526
"twisted metal: head on, extra twisted edition",0,0,0,14,7,21,4.333333333333333
hde charging cable for ps3 controllers usb charging cord compatible with wireless dualshock 3 controllers,0,1,0,0,20,21,4.857142857142857
mega man anniversary collection - gamecube,0,0,1,8,12,21,4.523809523809524
red dead revolver - xbox,1,0,5,7,8,21,4.0
mike tyson's punch-out!! - nintendo nes,0,0,0,2,19,21,4.904761904761905
guitar hero aerosmith - nintendo wii (game only),2,2,6,10,1,21,3.2857142857142856
naruto: ultimate ninja 3 - playstation 2,0,2,4,4,11,21,4.142857142857143
zone of the enders,1,0,3,10,7,21,4.0476190476190474
bullet witch - xbox 360,1,7,4,4,5,21,3.238095238095238
grand theft auto v (special edition) - playstation 3,1,1,3,4,12,21,4.190476190476191
sonic lost world 3ds,0,2,3,6,10,21,4.142857142857143
xbox one special edition covert forces wireless controller,3,1,0,0,17,21,4.285714285714286
need for speed - xbox one,10,2,2,2,5,21,2.5238095238095237
the sims: hot date expansion pack - pc,0,1,4,4,12,21,4.285714285714286
wwe smackdown vs raw 2006 - playstation 2,1,1,1,4,14,21,4.380952380952381
medieval moves: deadmund's quest - playstation 3,0,0,2,4,15,21,4.619047619047619
brothers in arms: road to hill 30 - pc,2,3,4,5,7,21,3.5714285714285716
kinect sports season two,0,0,4,5,12,21,4.380952380952381
baten kaitos,0,0,1,9,11,21,4.476190476190476
skylanders superchargers: racing sea pack,0,0,1,1,19,21,4.857142857142857
tenchu z - xbox 360,1,2,4,4,10,21,3.9523809523809526
batman: return to arkham - playstation 4 standard edition,0,0,1,5,15,21,4.666666666666667
harvest moon: a wonderful life,1,0,3,7,10,21,4.190476190476191
xbox one 1tb console - forza motorsport 6 bundle,3,0,1,3,14,21,4.190476190476191
assassin's creed i & ii,1,1,3,4,12,21,4.190476190476191
the amazing spider-man,0,2,3,5,11,21,4.190476190476191
mortal kombat trilogy,2,1,3,4,11,21,4.0
horizon zero dawn - playstation 4 collector's edition,0,0,0,2,19,21,4.904761904761905
plants vs. zombies garden warfare 2 - playstation 4,1,0,4,4,12,21,4.238095238095238
tera online,0,1,4,5,11,21,4.238095238095238
pokemon conquest,0,2,2,4,13,21,4.333333333333333
crosswords ds,0,0,0,11,10,21,4.476190476190476
sonic gems collection - gamecube,1,1,0,5,13,20,4.4
lego jurassic world - xbox 360 standard edition,1,2,2,6,9,20,4.0
xbox 360 universal media remote,1,2,1,5,11,20,4.15
heavy rain and beyond two souls collection hd remastered (playstation 4 ps4),0,0,0,2,18,20,4.9
age of empires iii,2,3,2,9,4,20,3.5
disney infinity 3.0 edition starter pack - wii u,0,0,1,3,16,20,4.75
xbox one wireless controller and play & charge kit,0,1,1,3,15,20,4.6
turtle beach - ear force recon 30x chat communicator gaming headset - xbox one (discontinued by manufacturer),0,3,2,5,10,20,4.1
project x zone 2 - nintendo 3ds,2,2,1,5,10,20,3.95
chibi-robo!: zip lash with chibi-robo amiibo bundle - nintendo 3ds bundle edition,1,1,1,7,10,20,4.2
wolfenstein: the old blood - xbox one,1,0,0,4,15,20,4.6
call of duty: black ops iii - standard edition - pc,4,2,4,5,5,20,3.25
plants vs. zombies garden warfare 2 - xbox one,2,0,0,4,14,20,4.4
we love katamari - playstation 2,1,1,2,7,9,20,4.1
the godfather the game - xbox 360,0,1,1,5,13,20,4.5
shovel knight - wii u,0,0,1,2,17,20,4.8
nintendo wii u 32gb mario kart 8 (pre-installed) deluxe bundle,2,0,3,2,13,20,4.2
mega man legacy collection - ps4 [digital code],1,0,4,4,11,20,4.2
prince of persia the two thrones - playstation 2,0,2,2,5,11,20,4.25
nintendogs lab & friends,0,1,2,7,10,20,4.3
dragon age inquisition - game of the year edition - playstation 4,3,0,1,5,11,20,4.05
hori amiibo card folio officially licensed by nintendo,2,3,2,5,8,20,3.7
mortal kombat unchained - sony psp,0,0,0,6,14,20,4.7
final fantasy xi online: the vana'diel collection 2008 - xbox 360,0,4,6,4,6,20,3.6
shin megami tensei: devil summoner: soul hackers - nintendo 3ds,2,1,0,8,9,20,4.05
puzzle & dragons z + puzzle & dragons super mario bros. - nintendo 3ds,1,1,1,7,10,20,4.2
nyko intercooler slim for ps3,5,3,3,2,7,20,3.15
rock band 3 - playstation 3 (game),1,1,4,2,12,20,4.15
ratchet & clank: quest for booty,1,2,5,4,8,20,3.8
deca sports freedom - xbox 360,6,2,2,3,7,20,3.15
green lantern: rise of the manhunters - playstation 3,1,0,8,4,7,20,3.8
play & charge kit cable only for xbox 360,2,2,2,4,10,20,3.9
divinity ii: the dragon knight saga,0,0,1,4,15,20,4.7
tom clancy's ghost recon shadow wars,1,0,1,6,12,20,4.4
eternal sonata - xbox 360,0,0,6,6,8,20,4.1
nyko charge base for 3ds,2,2,4,2,10,20,3.8
the sims 3: generations - expansion pack pc/mac,0,2,3,5,10,20,4.15
ultimate mortal kombat,0,0,2,4,14,20,4.6
xbox 360 gears of war 3 limited edition console bundle,0,0,0,3,17,20,4.85
disney universe - nintendo wii,0,0,1,5,14,20,4.65
zumba fitness 2 - nintendo wii,0,0,2,5,13,20,4.55
just dance 3,1,1,1,2,15,20,4.45
blades of time - xbox 360,1,0,6,6,7,20,3.9
mortal kombat armageddon,1,1,4,4,10,20,4.05
wwe smackdown vs. raw 2011 - playstation 3,2,1,4,4,9,20,3.85
lego star wars iii the clone wars - xbox 360,1,0,2,4,13,20,4.4
etrian mystery dungeon - nintendo 3ds,0,0,1,2,17,20,4.8
ssx - playstation 3,2,1,4,3,10,20,3.9
tom clancy's endwar - playstation 3,2,0,1,8,9,20,4.1
logitech playstation 3 cordless mediaboard pro,0,0,4,4,12,20,4.4
f.e.a.r. perseus mandate - pc,0,0,4,7,9,20,4.25
wii fit balance board blue silicone sleeve,2,0,0,6,12,20,4.3
x-blades - xbox 360,0,4,5,3,8,20,3.75
saints row 2 - pc,4,0,4,4,8,20,3.6
king of fighters xi - playstation 2,0,1,3,8,8,20,4.15
need for speed: undercover - xbox 360,1,2,5,3,9,20,3.85
kirby super star ultra,0,0,1,3,16,20,4.75
evercool defender turbo cooling fan - playstation 3 (not compatible with ps3 slim),1,0,3,4,12,20,4.3
terminator salvation - xbox 360,4,2,10,0,4,20,2.9
playstation 2 slim console - silver,1,0,1,4,14,20,4.5
call of juarez: bound in blood - xbox 360,3,0,3,7,7,20,3.75
need for speed: shift - playstation 3,1,0,4,2,13,20,4.3
mini ninjas - playstation 3,0,1,2,4,13,20,4.45
fragile dreams: farewell ruins of the moon - nintendo wii,2,0,3,3,12,20,4.15
playstation 3 dualshock 3 wireless controller (red),0,0,1,4,15,20,4.7
ultimate marvel vs. capcom 3 - xbox 360,0,4,1,2,13,20,4.2
xbox 360 wireless headset with bluetooth,2,2,3,2,11,20,3.9
hyperdimension neptunia mk2 - playstation 3,0,1,1,3,15,20,4.6
enchanted arms - playstation 3,1,0,6,8,5,20,3.8
battlefield 2142 (dvd-rom) - pc,6,4,3,3,4,20,2.75
the lego movie videogame - nintendo 3ds standard edition,0,1,2,5,12,20,4.4
call of duty: ghosts hardened edition - playstation 4,2,0,2,5,11,20,4.15
castlevania lords of shadow collection,3,0,1,2,14,20,4.2
the walking dead game of the year - playstation 3,1,0,1,4,14,20,4.5
steam gift card - $100,5,0,3,2,10,20,3.6
tales of the abyss - playstation 2,0,1,3,4,12,20,4.35
"hyperkin ""gn6"" premium controller for genesis",2,1,1,3,13,20,4.2
destroy all humans 2,0,1,0,5,14,20,4.6
xbox one wireless controller - titanfall limited edition,4,0,0,3,13,20,4.05
theatrhythm final fantasy curtain call - limited edition,1,0,0,3,16,20,4.65
playstation gold wireless stereo headset: limited edition - white,2,1,1,3,13,20,4.2
"persona q: shadow of the labyrinth - the wild cards premium edition, nintendo 3ds",0,0,1,5,14,20,4.65
destiny limited edition - playstation 4,1,2,2,2,13,20,4.2
legend of spyro: a new beginning - playstation 2,1,3,6,3,7,20,3.6
pit amiibo - japan import (super smash bros series),1,0,0,0,19,20,4.8
meta knight amiibo - japan import (super smash bros series),0,0,0,1,19,20,4.95
world of warcraft battle chest - (obsolete),1,0,1,3,15,20,4.55
the elder scrolls anthology,0,0,1,2,17,20,4.8
playstation 4 killzone launch day bundle,3,0,1,2,14,20,4.2
wii u pro controller - white,0,1,2,3,14,20,4.5
sony playstation eye camera (bulk packaging),0,0,0,1,19,20,4.95
nyko wireless sensor bar for wii,1,0,4,4,11,20,4.2
nyko power grip for vita - playstation vita 1000 series,2,1,1,3,13,20,4.2
"nyko hd-link for wii, 8ft 2.4m",1,0,2,1,16,20,4.55
lego lord of the rings - playstation vita,0,0,0,5,15,20,4.75
battlefield 3 premium edition -xbox 360,0,1,0,4,15,20,4.65
lightning returns: final fantasy xiii - xbox 360,2,0,3,0,15,20,4.3
ps3 250 gb black friday 2012 bundle,2,0,1,0,17,20,4.5
final fantasy xiv: a realm reborn - playstation 4,4,2,1,2,11,20,3.7
etrian odyssey iv: legends of the titan - nintendo 3ds,2,0,1,2,15,20,4.4
xbox 360 quick charge kit,0,1,1,2,16,20,4.65
genji: days of the blade - playstation 3,1,3,5,2,9,20,3.75
resident evil: revelations - nintendo wii u,1,0,2,4,13,20,4.4
madden nfl 25 - xbox one,1,1,2,5,11,20,4.2
timeshift - pc,1,3,2,10,4,20,3.65
skylanders giants: lightcore hex character,0,1,1,2,16,20,4.65
kinect sports ultimate collection,1,0,0,0,19,20,4.8
bioshock: the collection - xbox one,1,0,2,3,14,20,4.45
wwf smackdown 2: know your role,3,2,0,4,11,20,3.9
burnout revenge - playstation 2,0,0,1,3,16,20,4.75
mortal kombat 4,0,0,4,3,13,20,4.45
madden nfl 2006 - playstation 2,2,4,2,5,7,20,3.55
mortal kombat trilogy,0,1,3,3,13,20,4.4
tony hawk's underground,1,0,2,4,13,20,4.4
super nintendo controller,2,0,4,0,14,20,4.2
star wars: rogue squadron,0,0,1,3,16,20,4.75
earthbound,0,0,0,3,17,20,4.85
resident evil - playstation,1,0,0,4,15,20,4.6
mario golf: toadstool tour,0,0,0,7,13,20,4.65
sonic advance 2,0,0,1,8,11,20,4.5
need for speed: most wanted (greatest hits),0,0,2,5,13,20,4.55
radiata stories - playstation 2,1,3,3,5,8,20,3.8
crazy taxi 2 - sega dreamcast,0,1,5,4,10,20,4.15
freelancer - pc,1,1,4,6,8,20,3.95
return to castle wolfenstein: operation resurrection - playstation 2,3,0,2,6,9,20,3.9
twisted metal 4,0,1,5,2,12,20,4.25
empire earth - pc,0,1,2,7,10,20,4.3
diablo 2 expansion: lord of destruction - pc/mac,0,0,2,8,10,20,4.4
project gotham racing 2 - xbox,0,0,1,6,13,20,4.6
baldur's gate ii:  shadows of amn,0,3,1,2,14,20,4.35
simcity 4 - pc,3,2,0,10,5,20,3.6
metal gear solid 2: substance,0,4,3,7,6,20,3.75
call of duty: united offensive expansion pack - pc (deluxe),1,1,2,4,12,20,4.25
mega man - nintendo nes,1,2,2,6,9,20,4.0
wreckless: the yakuza missions,0,5,7,5,3,20,3.3
hitman 2: silent assassin - pc,2,0,2,7,9,20,4.05
espn nfl 2k5 - xbox,0,0,0,4,16,20,4.8
xbox controller s,1,2,1,8,8,20,4.0
gauntlet: dark legacy,0,0,2,9,9,20,4.35
turok: evolution,2,2,7,4,5,20,3.4
star wars: clone wars,1,1,3,4,11,20,4.15
doom 3: resurrection of evil expansion pack,1,1,8,5,5,20,3.6
the lord of the rings: the battle for middle-earth,3,0,1,7,9,20,3.95
madden nfl 2005 - ps2,1,2,1,5,11,20,4.15
mercenaries - xbox,0,0,2,3,15,20,4.65
visual memory unit - blue,0,0,0,2,18,20,4.9
time splitters 2,0,1,3,7,9,20,4.2
lara croft tomb raider: the  angel of darkness,3,6,3,4,4,20,3.0
thief 3: deadly shadows - pc,0,2,3,6,9,20,4.1
socom: fireteam bravo - sony psp,1,1,0,6,12,20,4.35
mario power tennis,0,0,1,3,16,20,4.75
shin megami tensei: digital devil saga - playstation 2,0,0,2,6,12,20,4.5
super game boy,0,1,0,2,17,20,4.75
half-life: blue shift - pc,0,3,9,5,3,20,3.4
metro last light - xbox 360,0,0,5,5,9,19,4.2105263157894735
dead or alive 2: hardcore,0,2,1,7,9,19,4.2105263157894735
twisted metal iii,3,2,5,3,6,19,3.3684210526315788
the walking dead: season 2 - xbox one,0,0,0,5,14,19,4.7368421052631575
tony hawk's pro skater 4 - playstation 2,0,0,1,6,12,19,4.578947368421052
5 pair/10 pcs replacement silicone analog controller joystick thumb stick grips cap cover for ps3 / ps4 / xbox 360 / xbox one / wii game controllers by trineybell,0,0,1,4,14,19,4.684210526315789
need for speed hot pursuit - pc,2,2,2,5,8,19,3.789473684210526
super monkey ball,0,0,3,3,13,19,4.526315789473684
sonic boom: shattered crystal - nintendo 3ds,2,0,3,1,13,19,4.2105263157894735
turtle beach call of duty: ghosts ear force shadow limited edition gaming headset -microsoft xbox 360,1,1,2,3,12,19,4.2631578947368425
wheel of fortune - nintendo wii,0,0,0,5,14,19,4.7368421052631575
wwe all stars - playstation 3,1,1,2,6,9,19,4.105263157894737
the sims 3: showtime - pc/mac,1,0,5,4,9,19,4.052631578947368
superman returns - xbox 360,3,5,4,4,3,19,2.9473684210526314
hot shots golf: open tee 2 - sony psp,0,0,0,6,13,19,4.684210526315789
disney infinity: marvel super heroes (2.0 edition) captain america figure - not machine specific,0,0,1,2,16,19,4.7894736842105265
mario & sonic at the sochi 2014 olympic winter games - nintendo wii u,3,0,4,4,8,19,3.736842105263158
persona q: shadow of the labyrinth - nintendo 3ds standard edition,0,0,2,1,16,19,4.7368421052631575
unreal tournament 2004,0,0,1,2,16,19,4.7894736842105265
ps3 500gb the last of us bundle,1,1,1,4,12,19,4.315789473684211
south park,0,3,1,2,13,19,4.315789473684211
skylanders swap force starter pack - playstation 4,0,0,1,2,16,19,4.7894736842105265
kontrolfreek fps vipr,1,1,2,6,9,19,4.105263157894737
batman: the video game,0,0,0,4,15,19,4.7894736842105265
pokemon ranger: guardian signs,0,0,1,1,17,19,4.842105263157895
just dance 2015 - wii u,0,0,1,3,15,19,4.7368421052631575
turok 2: seeds of evil,0,1,3,4,11,19,4.315789473684211
pokemon omega ruby and pokemon alpha sapphire dual pack - nintendo 3ds,0,0,1,1,17,19,4.842105263157895
mortal kombat deadly alliance,0,1,4,10,4,19,3.8947368421052633
wwe 2k16 - xbox one,0,2,4,5,8,19,4.0
wario ware: mega microgames,0,1,1,4,13,19,4.526315789473684
neverwinter nights - pc,2,0,4,7,6,19,3.789473684210526
brothers - a tale of two sons [online game code],2,0,1,4,12,19,4.2631578947368425
chicken riot - nintendo wii,0,0,4,4,11,19,4.368421052631579
fire emblem,0,0,0,5,14,19,4.7368421052631575
transformers: fall of cybertron - xbox 360,0,0,4,5,10,19,4.315789473684211
wario world | gamecube,0,2,2,5,10,19,4.2105263157894735
battlefield 2 modern combat - xbox 360,1,1,2,7,8,19,4.052631578947368
sherlock holmes: crimes & punishments - playstation 4,0,1,2,9,7,19,4.157894736842105
xbox 360 500gb media hard drive,0,0,1,3,15,19,4.7368421052631575
viva piñata: trouble in paradise,0,0,4,6,9,19,4.2631578947368425
nba live 14 - playstation 4,3,4,2,4,6,19,3.3157894736842106
dying light - pc,1,1,3,5,9,19,4.052631578947368
harvest moon magical melody - gamecube,0,1,2,3,13,19,4.473684210526316
generic sony playstation 3 slim edition ac power adapter cord bulk,0,1,1,5,12,19,4.473684210526316
need for speed: prostreet - playstation 3,0,1,3,5,10,19,4.2631578947368425
need for speed: the run [download],3,3,4,3,6,19,3.3157894736842106
suikoden v - playstation 2,0,0,3,4,12,19,4.473684210526316
starcraft ii: heart of the swarm -collector's edition,0,1,0,3,15,19,4.684210526315789
virtua fighter 4 evolution - playstation 2,2,2,1,2,12,19,4.052631578947368
dead to rights: retribution - playstation 3,0,1,8,4,6,19,3.789473684210526
mushroom men: the spore wars - nintendo wii,2,0,0,4,13,19,4.368421052631579
guitar hero metallica - playstation 3,0,0,1,4,14,19,4.684210526315789
zombie army trilogy - playstation 4,0,1,2,7,9,19,4.2631578947368425
age of conan: hyborian adventures - pc,3,5,7,2,2,19,2.736842105263158
sega alien: isolation - xbox 360 standard edition,1,3,0,4,11,19,4.105263157894737
thief - playstation 3,1,1,5,2,10,19,4.0
lightning360 high quality premium super grip glow black blue silicon protective skin case cover for sony playstation ps3 remote controller,0,1,4,3,11,19,4.2631578947368425
star wars: battlefront & steelbook (amazon exclusive) - playstation 4,4,3,4,4,4,19,3.0526315789473686
mario and sonic at the olympic winter games - nintendo wii,1,0,1,5,12,19,4.421052631578948
mario tennis:  ultra smash,1,3,4,3,8,19,3.736842105263158
"ds, game boy advance sp rapid home travel charger with ic chip",3,1,1,0,14,19,4.105263157894737
"call of duty legacy (includes finest hour, big red one) - playstation 2",0,1,0,2,16,19,4.7368421052631575
naruto shippuden: ultimate ninja storm revolution - playstation 3,0,0,2,1,16,19,4.7368421052631575
wasteland 2: director's cut,3,1,2,4,9,19,3.789473684210526
wipeout in the zone - xbox 360,0,3,2,3,11,19,4.157894736842105
lost: via domus - xbox 360,4,0,14,0,1,19,2.6842105263157894
turok - pc,4,2,9,4,0,19,2.6842105263157894
steins;gate - playstation vita,0,0,0,1,18,19,4.947368421052632
dead island definitive collection - playstation 4,3,0,3,3,10,19,3.8947368421052633
sega superstars tennis - xbox 360,0,0,5,11,3,19,3.8947368421052633
twisted metal 2,0,0,1,0,18,19,4.894736842105263
"3 pack - limbo, trials hd, splosion man - xbox 360",0,0,5,6,8,19,4.157894736842105
sonic heroes - playstation 2,0,0,1,3,15,19,4.7368421052631575
starcraft ii: legacy of the void - standard edition,0,1,0,3,15,19,4.684210526315789
star wars: republic commando,0,0,1,8,10,19,4.473684210526316
legobatman2: dc super heroes - playstation vita,1,2,1,1,14,19,4.315789473684211
pikmin & olimar amiibo (super smash bros series),0,0,0,2,17,19,4.894736842105263
dragon age inquisition - deluxe edition -  xbox one,1,0,2,3,13,19,4.421052631578948
metal slug anthology - nintendo wii,1,0,4,3,11,19,4.2105263157894735
midnight club: los angeles - xbox 360,0,4,1,6,8,19,3.9473684210526314
xcom: enemy within  - xbox 360,1,1,1,1,15,19,4.473684210526316
dragon ball z: budokai 3 - playstation 2,0,0,1,4,14,19,4.684210526315789
madden nfl 15 - playstation 3,3,2,2,1,11,19,3.789473684210526
no man's sky - limited edition - playstation 4,1,4,3,4,7,19,3.6315789473684212
star wars galaxies: an empire divided - pc,9,2,0,5,3,19,2.526315789473684
syberia - pc,2,1,2,6,8,19,3.8947368421052633
supreme commander - pc,2,7,2,2,6,19,3.1578947368421053
midway arcade treasures 2 - playstation 2,0,0,2,8,9,19,4.368421052631579
ps3 move quad charger,1,1,1,1,15,19,4.473684210526316
dragon ball z: battle of z - playstation 3,1,2,1,3,12,19,4.2105263157894735
transformers rise of the dark spark - playstation 4,3,3,3,3,7,19,3.4210526315789473
castlevania: harmony of dissonance,0,0,6,5,8,19,4.105263157894737
dark messiah of might & magic - pc,1,3,4,7,4,19,3.526315789473684
wii hardware bundle - red,1,0,1,2,15,19,4.578947368421052
zoo tycoon: complete collection - pc,0,0,2,0,17,19,4.7894736842105265
trials fusion - playstation 4,0,1,1,0,17,19,4.7368421052631575
pdp afterglow prismatic wired controller for xbox one - xbox one,1,1,0,6,11,19,4.315789473684211
skylanders spyro's adventure: hex,0,1,1,3,14,19,4.578947368421052
star fox command,0,1,6,9,3,19,3.736842105263158
link's crossbow training,0,0,2,10,7,19,4.2631578947368425
g155-gaming and entertainment mobile system (xbox 360/ ps3 not included),1,1,0,5,12,19,4.368421052631579
xbox 360 messenger kit,0,1,1,7,10,19,4.368421052631579
alone in the dark - playstation 2,6,8,2,0,3,19,2.263157894736842
xbox live 12 month gold starter kit,0,0,2,3,14,19,4.631578947368421
fallout 4 - pip-boy edition - pc,2,0,3,5,9,19,4.0
dragonpad wii to hdmi converter output video audio adapter - supports all wii display modes to 720p / 1080p hdtv & monitor.,0,1,0,4,14,19,4.631578947368421
wwe 2k15 - xbox one,2,1,2,3,11,19,4.052631578947368
crash bandicoot: twinsanity - playstation 2,2,1,4,3,9,19,3.8421052631578947
hori ps vita screen protective filter,2,2,1,2,12,19,4.052631578947368
nintendo 64 rumble pak (nus-013),2,0,1,2,14,19,4.368421052631579
psychonauts,0,0,3,5,11,19,4.421052631578948
call of duty finest hour,0,1,5,3,10,19,4.157894736842105
sony psp battery pack,2,0,2,4,11,19,4.157894736842105
diablo iii: reaper of souls collector's edition,1,0,0,4,14,19,4.578947368421052
conan - playstation 3,0,0,3,7,9,19,4.315789473684211
nintendo - new 3ds xl legend of zelda: majora's mask limited edition - gold/black,6,0,0,2,11,19,3.6315789473684212
celeste amiibo (animal crossing series),1,0,1,3,14,19,4.526315789473684
disney infinity starter pack xbox 360,4,0,0,4,11,19,3.9473684210526314
sly 3 honor among thieves - playstation 2,0,0,2,1,16,19,4.7368421052631575
deus ex: human revolution - standard edition [download],1,2,2,4,10,19,4.052631578947368
gran turismo - sony psp,2,0,4,5,8,19,3.8947368421052633
star wars obi-wan,2,3,3,7,4,19,3.4210526315789473
lego the hobbit - playstation 4,0,0,1,3,15,19,4.7368421052631575
castlevania: aria of sorrow,0,0,0,4,15,19,4.7894736842105265
ultimate nes remix - nintendo 3ds,1,0,1,4,13,19,4.473684210526316
madden nfl 2006 - xbox 360,3,6,0,7,3,19,3.0526315789473686
command & conquer: generals - pc,0,0,4,9,6,19,4.105263157894737
ace attorney investigations: miles edgeworth,0,0,2,6,11,19,4.473684210526316
peter jackson's king kong - xbox 360,1,1,7,7,3,19,3.526315789473684
big brain academy: wii degree,2,1,4,6,6,19,3.6842105263157894
zelda ii: the adventure of link (classic nes series),0,1,2,5,11,19,4.368421052631579
rayman legends xbox one standard edition,1,0,2,0,16,19,4.578947368421052
trace memory - nintendo ds,0,0,3,10,6,19,4.157894736842105
return to castle wolfenstein: tides of war - xbox,0,2,1,3,13,19,4.421052631578948
lego jurassic world - wii u,0,0,0,2,17,19,4.894736842105263
sonic & sega all-stars racing - playstation 3,0,0,2,4,13,19,4.578947368421052
namco museum: 50th anniversary,1,0,1,7,10,19,4.315789473684211
shadowrun - xbox 360,2,2,5,6,4,19,3.4210526315789473
the pinball arcade - playstation 4,0,1,2,2,14,19,4.526315789473684
simpsons hit and run - gamecube,0,1,3,3,12,19,4.368421052631579
f-zero,0,0,5,5,9,19,4.2105263157894735
guilty gear xrd sign limited edition - playstation 4,0,0,0,4,15,19,4.7894736842105265
the sims 2: nightlife expansion pack - pc,0,0,1,3,15,19,4.7368421052631575
donkey kong country 2: diddy's kong quest,0,0,1,3,15,19,4.7368421052631575
crazy taxi,0,1,7,5,5,18,3.7777777777777777
wwe day of reckoning - gamecube,0,2,0,5,11,18,4.388888888888889
mario kart wii,0,0,1,1,16,18,4.833333333333333
the sims: house party expansion pack - pc,0,1,1,6,10,18,4.388888888888889
the witcher 2: assassins of kings - enhanced edition - xbox 360,1,0,1,5,11,18,4.388888888888889
lunar: silver star story complete,0,0,0,5,13,18,4.722222222222222
sonic & knuckles,0,0,0,7,11,18,4.611111111111111
super mario land 2: 6 golden coins,0,0,0,2,16,18,4.888888888888889
wave race: blue storm,0,0,3,6,9,18,4.333333333333333
the sims 2 happy holiday stuff - pc,0,2,2,3,11,18,4.277777777777778
danganronpa 2: goodbye despair - playstation vita,0,0,1,2,15,18,4.777777777777778
turtle beach - ear force stealth 500x premium fully wireless with surround sound gaming headset - xbox one,5,2,1,4,6,18,3.2222222222222223
amazing adventures: the forgotten ruins - nintendo ds,0,2,2,8,6,18,4.0
tactics ogre: let us cling together - sony psp,0,0,1,4,13,18,4.666666666666667
haunting ground - playstation 2,0,0,1,7,10,18,4.5
life is strange limited edition - playstation 4,1,1,0,5,11,18,4.333333333333333
the legend of zelda: collector's edition (zelda / zelda ii: the adventure of link / ocarina of time / majora's mask),1,0,0,5,12,18,4.5
ssx,0,1,0,1,16,18,4.777777777777778
rock band for xbox 360,1,2,0,2,13,18,4.333333333333333
soldier of fortune ii double helix,0,3,3,7,5,18,3.7777777777777777
